nicho,nome,endereco,telefone,site,rating,qtd_reviews,score_oportunidade,motivo_abordagem,mensagem_sugerida,status
academia,Allp Fit Academia | Franca,"Av. Chico Júlio, 3550 - Vila Chico Julio, Franca - SP, 14405-252",,https://www.instagram.com/allpfit.franca,5.0,3,70,so_rede_social,"Oi! Vi o Allp Fit Academia | Franca — 3 avaliações, nota 5.0, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?",não contatado
salão de unhas,kêmili Domenes Nails Designer,"R. Mal. Caxias, 2288 - Centro, Franca - SP, 14400-600",+55 16 99999-0732,,4.9,38,55,sem_site,"Oi! Vi o kêmili Domenes Nails Designer aqui em Franca — 38 avaliações, nota 4.9, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?",não contatado
salão de unhas,Unhas By Karla,"R. Virgínio Pereira, 1705A - Estacao, Franca - SP, 14405-092",+55 16 98801-5150,https://www.instagram.com/unhasbykarla,5.0,16,55,so_rede_social,"Oi! Vi o Unhas By Karla — 16 avaliações, nota 5.0, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?",não contatado
hamburgueria,Hamburgueria Alameda,"Alameda Arminda Nogueira, 2245 - Vila Industrial, Franca - SP, 14403-374",+55 16 3406-6201,,4.7,708,45,sem_site,"Oi! Vi o Hamburgueria Alameda aqui em Franca — 708 avaliações, nota 4.7, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?",não contatado
lanchonete,Brutu's Lanches,"Av. Champagnat, 2152 - Centro, Franca - SP, 14400-320",+55 16 3721-2620,,4.4,1630,45,sem_site,"Oi! Vi o Brutu's Lanches aqui em Franca — 1630 avaliações, nota 4.4, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?",não contatado
salão de unhas,Cintia Carla Nails,"R. Everton de Paula Merlino, 2759 - Vila Santa Cruz, Franca - SP, 14403-450",+55 16 99435-8532,https://www.instagram.com/cintiacarlanails,4.8,83,30,so_rede_social,"Oi! Vi o Cintia Carla Nails — 83 avaliações, nota 4.8, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?",não contatado
barbearia,Barbearia Barber Club (Skyit),"Av. Distrito Federal, 950 - Vila Aparecida, Franca - SP, 14401-342",+55 16 99167-6818,https://www.instagram.com/barberclubfranca,5.0,188,30,so_rede_social,"Oi! Vi o Barbearia Barber Club (Skyit) — 188 avaliações, nota 5.0, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?",não contatado
academia,Academia BlueFit Franca,"Av. Alonso Y Alonso, 1231 - Centro, Franca - SP, 14403-000",+55 11 93234-0182,https://www.bluefit.com.br/unidade/franca,4.8,24,25,poucas_reviews,"Oi! Vi o Academia BlueFit Franca aqui em Franca, ótima nota (4.8⭐) mas pouca gente avaliando ainda — isso é oportunidade perdida no Google. Ajudo negócios locais a aparecer mais e converter mais avaliação em cliente novo. Topa ver uma ideia rápida?",não contatado
academia,"SIM, uma não academia","R. do Comércio, 2173 - Centro, Franca - SP, 14400-660",+55 16 99241-1065,https://simumanaoacademia.com.br/,5.0,42,10,geral,"Oi! Vi o SIM, uma não academia aqui em Franca. Ajudo negócios locais a vender mais com automação de WhatsApp, Instagram e presença digital — posso te mandar um exemplo rápido do que consigo fazer pro seu ramo?",não contatado
hamburgueria,Hugg's Burger Brasil,"Av. Alonso Y Alonso, 2195 - Centro, Franca - SP, 14400-770",,https://delivery.huggsburgerbrasil.com.br/,3.9,1390,0,geral,"Oi! Vi o Hugg's Burger Brasil aqui em Franca. Ajudo negócios locais a vender mais com automação de WhatsApp, Instagram e presença digital — posso te mandar um exemplo rápido do que consigo fazer pro seu ramo?",não contatado
