nome,nicho,cidade,telefone,site,rating,qtd_reviews,score_oportunidade,motivo_abordagem,status,notas,mensagem_sugerida
"Glow Up nails","salão de unhas","Franca, SP","(16) 99296-3644","","5","1","85","sem_site","não contatado","","Oi! Vi o Glow Up nails aqui em Franca — 1 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Michelle Alves Instrutora/Nail Designer","salão de unhas","Franca, SP","(16) 99276-9201","","5","14","85","sem_site","contatado","","Parabéns pelo incrível trabalho no seu salão, nota 5 com 14 avaliações é um feito notável! Reparei que você não tem um site próprio, só faltando uma presença online exclusiva para mostrar todo o seu talento. Posso te mostrar uma ideia rápida, sem compromisso? 
Vitor, do @engenheiro.ai"
"Talita Campos Studio de unha e estética","salão de unhas","Franca, SP","(16) 98248-5135","","5","10","85","sem_site","contatado","","Oi! Vi o Talita Campos Studio de unha e estética aqui em Franca — 10 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Iago Bomfim Corretor | Cidade Nova Imóveis","corretoras","Franca, SP","(16) 99224-5131","","5","5","85","sem_site","não contatado","","Oi! Vi o Iago Bomfim Corretor | Cidade Nova Imóveis aqui em Franca — 5 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Rose Corretora de Imóveis","corretoras","Franca, SP","(16) 99101-1147","","5","2","85","sem_site","não contatado","","Oi! Vi o Rose Corretora de Imóveis aqui em Franca — 2 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Investconsórcio","investimentos","Franca, SP","(16) 99248-0007","","5","2","85","sem_site","não contatado","","Oi! Vi o Investconsórcio aqui em Franca — 2 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Orius Capitais","investimentos","Franca, SP","(16) 99119-5681","","5","1","85","sem_site","não contatado","","Oi! Vi o Orius Capitais aqui em Franca — 1 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"TOP FIT STUDIO DE MUSCULAÇÃO","academia","itapema","(47) 98869-0110","","5","10","85","sem_site","não contatado","","Oi! Vi o TOP FIT STUDIO DE MUSCULAÇÃO aqui em Franca — 10 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Gestor Capital - Consórcio Santa Emília","investimentos","Franca, SP","","","5","3","85","sem_site","não contatado","","Oi! Vi o Gestor Capital - Consórcio Santa Emília aqui em Franca — 3 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Josy Unhas Decoradas","salão de unhas","Franca, SP","(16) 99113-7644","","5","1","85","sem_site","contatado","","Parabéns pelo trabalho incrível do seu salão, Josy Unhas Decoradas, nota 5 no Google é digna de admiração! Reparei que você não tem um site próprio, só faltando um detalhe para expandir ainda mais a presença digital do seu negócio. Posso te mostrar uma ideia rápida, sem compromisso? 
Vitor, do @engenheiro.ai"
"Machado Seguros & Investimentos","investimentos","Franca, SP","(16) 99310-4133","","5","9","85","sem_site","não contatado","","Oi! Vi o Machado Seguros & Investimentos aqui em Franca — 9 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Unhas por Cecilia","salão de unhas","Franca, SP","","","5","4","85","sem_site","não contatado","","Oi! Vi o Unhas por Cecilia aqui em Franca — 4 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Esmalteria E Nail Spa L.Giometti","salão de unhas","Franca, SP","(16) 99167-3359","","5","11","85","sem_site","não contatado","","Oi! Vi o Esmalteria E Nail Spa L.Giometti aqui em Franca — 11 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Studio Be - Um mundo além das unhas...","salão de unhas","Franca, SP","(16) 99170-7882","","5","7","85","sem_site","não contatado","","Oi! Vi o Studio Be - Um mundo além das unhas... aqui em Franca — 7 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Aléxia Fernanda manicure pedicure","salão de unhas","Franca, SP","(16) 99462-3351","","5","12","85","sem_site","contatado","","Oi! Vi o Aléxia Fernanda manicure pedicure aqui em Franca — 12 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Barbearia Senhor Du Cort","barbearia","Franca, SP","(16) 99170-2958","","5","3","85","sem_site","contatado","","Oi! Vi o Barbearia Senhor Du Cort aqui em Franca — 3 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Fit Pró 3.0 Academia","academia","Franca, SP","(16) 98820-6654","","5","13","85","sem_site","não contatado","","Oi! Vi o Fit Pró 3.0 Academia aqui em Franca — 13 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Harmonização facial - Esteticista Dra. Dulce Lima","estética facial","Franca, SP","(16) 98243-4146","","5","6","85","sem_site","não contatado","","Oi! Vi o Harmonização facial - Esteticista Dra. Dulce Lima aqui em Franca — 6 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Club Pets - Banho e Tosa Hotel para Cachorros e Táxi Dog","pet shop","Franca, SP","(16) 99454-9816","","5","11","85","sem_site","não contatado","","Oi! Vi o Club Pets - Banho e Tosa Hotel para Cachorros e Táxi Dog aqui em Franca — 11 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Alpha petshop Franca","pet shop","Franca, SP","(16) 99322-4848","","5","1","85","sem_site","não contatado","","Oi! Vi o Alpha petshop Franca aqui em Franca — 1 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Bicho Molhado Pet Shop Em Franca","pet shop","Franca, SP","(16) 99722-6280","","5","14","85","sem_site","não contatado","","Oi! Vi o Bicho Molhado Pet Shop Em Franca aqui em Franca — 14 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Franciane Rezende","salão de unhas","Franca, SP","(16) 99670-5500","https://www.instagram.com/unhas.francianerezende?igsh=Z2NudGhnZjljOHFr&utm_source=qr","5","14","70","so_rede_social","não contatado","","Oi! Vi o Franciane Rezende — 14 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Studio Andressa Carrijo - Alongamento de unhas","salão de unhas","Franca, SP","(16) 98193-2690","https://instagram.com/studioandressacarrijo?igshid=MXNteDQycjJpd2lsYQ==&utm_source=qr","5","8","70","so_rede_social","não contatado","","Oi! Vi o Studio Andressa Carrijo - Alongamento de unhas — 8 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Stephany Ferreira - Nail Designer | Unhas Artisticas","salão de unhas","Franca, SP","(16) 99155-3186","https://www.instagram.com/steferreira.nail?igsh=ajRmd3ptM3dyZzJh&utm_source=qr","5","6","70","so_rede_social","não contatado","","Oi! Vi o Stephany Ferreira - Nail Designer | Unhas Artisticas — 6 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Agro Pet Ângela Rosa","pet shop","Franca, SP","(16) 99646-6363","https://www.instagram.com/agropetangelarosa/","5","14","70","so_rede_social","não contatado","","Oi! Vi o Agro Pet Ângela Rosa — 14 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Studio de Beleza Gabriela Guedes","salão de unhas","Franca, SP","(16) 99107-8059","","5","29","70","sem_site","não contatado","","Oi! Vi o Studio de Beleza Gabriela Guedes aqui em Franca — 29 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Clayton Moreira- corretor imobiliário","corretoras","Franca, SP","(16) 99282-7193","https://www.instagram.com/claytonmoreira_corretor/","5","1","70","so_rede_social","não contatado","","Oi! Vi o Clayton Moreira- corretor imobiliário — 1 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Legacy Investimentos","investimentos","Franca, SP","","","","","70","sem_site","não contatado","","Oi! Vi o Legacy Investimentos aqui em Franca — - avaliações, nota -, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Dra Tatiane Dias - Especialista em Estetica facial Avançada.","estética facial","balneario camburiu , itajai , itapema","(47) 98802-6347","","5","15","70","sem_site","não contatado","","Oi! Vi o Dra Tatiane Dias - Especialista em Estetica facial Avançada. aqui em Franca — 15 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Estúdio Belleza - Espaço das unhas","salão de unhas","Franca, SP","(16) 99667-6589","","5","16","70","sem_site","não contatado","","Oi! Vi o Estúdio Belleza - Espaço das unhas aqui em Franca — 16 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"LIDIAANE CAROLINE NAIL DESIGNER MANICURE E PEDICURE","salão de unhas","Franca, SP","(16) 99161-7835","","5","18","70","sem_site","não contatado","","Oi! Vi o LIDIAANE CAROLINE NAIL DESIGNER MANICURE E PEDICURE aqui em Franca — 18 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Esmalteria Áquila Dalelque","salão de unhas","Franca, SP","","https://instagram.com/aquila_dalelque?igshid=OGQ5ZDc2ODk2ZA==","5","4","70","so_rede_social","não contatado","","Oi! Vi o Esmalteria Áquila Dalelque — 4 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Maria Emília Nail Designer","salão de unhas","Franca, SP","(16) 99281-8998","https://instagram.com/mariaemilia_nail?igshid=MzRlODBiNWFlZA==","5","1","70","so_rede_social","não contatado","","Oi! Vi o Maria Emília Nail Designer — 1 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Allp Fit Academia | Franca","academia","Franca, SP","","https://www.instagram.com/allpfit.franca","5","4","70","so_rede_social","não contatado","","Oi! Vi o Allp Fit Academia | Franca — 4 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Espaço Della's Academia","academia","Franca, SP","(16) 99116-5131","https://www.instagram.com/espacodellasacademia?igsh=cmsxY2g1cXVidXlm","5","6","70","so_rede_social","não contatado","","Oi! Vi o Espaço Della's Academia — 6 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Dra Dyllima Lopes - Harmonização Facial em Franca SP","estética facial","Franca, SP","(35) 99164-3506","https://www.instagram.com/dra.dyllimalopes?igsh=aHM3ZGR1OG85bmJ5&utm_source=qr","5","9","70","so_rede_social","não contatado","","Oi! Vi o Dra Dyllima Lopes - Harmonização Facial em Franca SP — 9 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Rosângela Unhas Artísticas Manicure Pedicure","salão de unhas","Franca, SP","(16) 99230-5039","","5","15","70","sem_site","não contatado","","Oi! Vi o Rosângela Unhas Artísticas Manicure Pedicure aqui em Franca — 15 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Débora Patrícia Unhas Esmalteria","salão de unhas","Franca, SP","","","5","17","70","sem_site","não contatado","","Oi! Vi o Débora Patrícia Unhas Esmalteria aqui em Franca — 17 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Dra. Kézia Ferreira | Harmonização Facial em Franca SP","estética facial","Franca, SP","(16) 99376-8640","https://www.instagram.com/dra.keziaferreira?igsh=N3Y3cW1zZjh3dzBs&utm_source=qr","5","14","70","so_rede_social","não contatado","","Oi! Vi o Dra. Kézia Ferreira | Harmonização Facial em Franca SP — 14 avaliações, nota 5, mas o único link que aparece no Google é o Instagram. Um site próprio (mesmo simples) ajuda a converter muito mais quem já gostou do trabalho de vocês. Posso te mandar uma ideia rápida?"
"Day Unhas - Manicure/Pedicure e alongamentos","salão de unhas","Franca, SP","(16) 99187-3179","","5","19","70","sem_site","não contatado","","Oi! Vi o Day Unhas - Manicure/Pedicure e alongamentos aqui em Franca — 19 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
"Amanda Ferreira Nail Studio","salão de unhas","Franca, SP","(16) 99351-6164","","5","16","70","sem_site","não contatado","","Oi! Vi o Amanda Ferreira Nail Studio aqui em Franca — 16 avaliações, nota 5, mas sem site próprio ainda. Isso é cliente indo pra concorrência que aparece primeiro no Google. Faço sites simples e rápidos, com automação de WhatsApp incluída. Posso te mostrar um exemplo de como ficaria o de vocês, sem compromisso?"
